Cluster,Phase,Day of Date Trap,Cluster.code,ASBs Deployed,Form.Collectionid Check,Form.Sampleid Check,form.DyeFed,form.BloodFed,form.SugarFed,Indoor,Outdoor,Male,Female,An. gambiae,An. funestus
asb45,1,5-Mar-21,45,2,5077443,5157245,0,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5077443,5157246,0,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5077443,5157251,1,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5077443,5157252,1,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5077444,5157303,0,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5077444,5157304,0,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5077444,5157318,1,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5077529,5157226,0,0,---,0,1,0,1,1,
asb45,1,5-Mar-21,45,2,5089780,5157293,0,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5095029,5155172,1,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5095135,5155174,1,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097522,5148214,0,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097664,5151185,0,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097664,5151187,1,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097668,5151190,0,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097672,5148178,0,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097684,5148145,0,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097684,5148150,0,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097684,5148155,0,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097684,5148161,1,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097684,5148162,1,0,---,0,1,0,1,1,
asb77,1,5-Mar-21,77,2,5097684,5148163,1,1,---,0,1,0,1,1,
asb84,1,5-Mar-21,84,3,5096058,5158027,0,0,---,0,1,0,1,1,
asb84,1,5-Mar-21,84,3,5096058,5158036,0,0,---,0,1,0,1,1,
asb84,1,5-Mar-21,84,3,5096058,5158038,0,0,---,0,1,0,1,1,
asb84,1,5-Mar-21,84,3,5096356,5157934,0,0,---,0,1,0,1,1,
asb143,1,5-Mar-21,143,2,5098054,5156373,0,0,---,0,1,0,1,1,
asb143,1,5-Mar-21,143,2,5098363,5156409,0,0,---,0,1,0,1,1,
asb143,1,5-Mar-21,143,2,5113227,5156400,0,0,---,0,1,0,1,1,
asb158,1,5-Mar-21,158,3,5099062,5156084,0,0,---,0,1,0,1,1,
asb158,1,5-Mar-21,158,3,5099062,5156088,0,0,---,0,1,0,1,1,
asb158,1,5-Mar-21,158,3,5099136,5156092,0,0,---,0,1,0,1,1,
asb163,1,5-Mar-21,163,2,5076437,5158788,1,0,---,0,1,0,1,1,
asb163,1,5-Mar-21,163,2,5113357,5156567,1,0,---,0,1,0,1,1,
asb163,1,5-Mar-21,163,2,5113357,5156574,0,0,---,0,1,0,1,1,
asb163,1,5-Mar-21,163,2,5113357,5156575,0,0,---,0,1,0,1,1,
asb163,1,5-Mar-21,163,2,5113357,5156583,0,0,---,0,1,0,1,1,
asb163,1,5-Mar-21,163,2,5113357,5156594,0,0,---,0,1,0,1,1,
asb163,1,5-Mar-21,163,2,5113357,5156595,0,0,---,0,1,0,1,1,
asb163,1,5-Mar-21,163,2,5113357,5156597,0,0,---,0,1,0,1,1,
asb194,1,5-Mar-21,194,3,5088802,5158448,1,0,---,0,1,0,1,1,
asb194,1,5-Mar-21,194,3,5088806,5158476,1,0,---,0,1,0,1,1,
asb143,1,6-Mar-21,143,2,5097940,5155645,0,0,---,0,1,0,1,1,
asb143,1,6-Mar-21,143,2,5113266,5155665,0,0,---,0,1,0,1,1,
asb143,1,6-Mar-21,143,2,5113266,5155670,0,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113391,5154211,0,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113397,5154225,0,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113413,5150078,1,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113413,5150086,0,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113413,5150089,0,1,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113413,5150094,0,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113413,5150098,0,1,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113421,5149986,1,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113421,5149987,1,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113421,5149988,1,1,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113421,5149989,1,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113421,5149991,1,1,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113421,5149994,1,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113422,5150017,1,0,---,0,1,0,1,1,
asb163,1,6-Mar-21,163,2,5113426,5150052,1,0,---,0,1,0,1,1,
