Study Sites,Month,Year,Date,Species,Method,Room#/Poste ,# sleeper,Position,NightFrames,NightFrames_2,mosquito ID,Parity,fed/unfed,ELISA,Species
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,27,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,28,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,29,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,30,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,31,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,32,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,33,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,00h-02h,,34,NR,Fed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,35,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,36,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,37,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,38,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,39,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,40,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,41,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,42,NP,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,43,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,44,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,02h-04h,,45,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,04H-06h,,46,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,04H-06h,,47,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,04H-06h,,48,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,04H-06h,,49,P,Unfed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,04H-06h,,50,NR,Fed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,04H-06h,,51,NR,Fed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Outside,04H-06h,,52,NR,Fed,Negatif,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,20h-22h,,53,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,20h-22h,,54,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,20h-22h,,55,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,22h-00h,,56,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,22h-00h,,57,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,22h-00h,,58,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,22h-00h,,59,NR,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,00h-02h,,60,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,00h-02h,,61,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,00h-02h,,62,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,00h-02h,,63,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,00h-02h,,64,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,00h-02h,,65,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,00h-02h,,66,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,67,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,68,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,69,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,70,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,71,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,72,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,73,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,74,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,1,,Inside,02h-04h,,75,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,22h-00h,,76,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,22h-00h,,77,P,Unfed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,22h-00h,,78,NR,Fed,ND,ND
Kignele,October,2016,20-Oct-2016,GA,HLC,2,,Inside,22h-00h,,79,NR,Fed,ND,ND
