year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,PSC suplementary catch male,PSC suplementary catch female,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample Anthrone females,Sample Anthrone males,Anthrone positive females,Anthrone positive males,Sample ELISA,ELISA positive,,Remarcs
2016,7,19,Trekrou,inside,Con.,NO,PSC,13,27,31,5,11,4,23,36,15,28,,,,2,11,8,4,5,7,9,16,6,13,,,,,,193,81,,,,,,,,,,,,,
2016,7,19,Sirakele,inside,Con.,NO,PSC,4,2,0,9,5,1,18,7,3,2,,,,1,0,0,4,2,0,5,1,2,4,,,,,,51,19,,,,,,,,,,,,,
2016,7,20,Balala,inside,Con.,NO,PSC,9,3,14,6,1,15,11,4,1,17,,,,8,2,9,3,2,2,1,0,0,4,,,,,,81,31,,,,,,,,,,,,,
2016,7,20,Sambadani,inside,Con.,NO,PSC,4,1,0,7,16,20,5,0,8,3,,,,1,2,0,3,3,7,2,0,4,1,,,,,,64,23,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1136,467,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,8,8,Madina,inside,Con.,NO,PSC,8,3,2,9,15,11,2,3,5,23,,,,3,0,3,5,7,9,0,2,6,12,,,,,,81,47,,,,,,,,,,,,,
2016,8,8,Nianguanabougou,inside,Con.,NO,PSC,2,9,2,5,11,5,2,10,4,18,,,,3,4,5,1,4,2,0,5,3,8,,,,,,68,35,,,,,,,,,,,,,
2016,8,9,Tiko,inside,Con.,NO,PSC,1,23,16,34,8,4,12,3,20,15,,,,2,17,11,21,6,3,8,1,14,9,,,,,,136,92,,,,,,,,,,,,,
2016,8,10,Kignele,inside,Con.,NO,PSC,92,15,31,116,60,29,8,85,26,103,,,,28,19,20,35,18,13,4,39,9,45,,,,,,565,230,,,,,,,,,,,,,
2016,8,11,Trekrouba,inside,Con.,NO,PSC,14,20,6,11,26,31,15,12,7,18,,,,9,7,9,4,16,21,5,8,3,12,,,,,,160,94,,,,,,,,,,,,,
2016,8,11,Balandougou,inside,Con.,NO,PSC,4,2,15,5,23,35,8,3,19,6,,,,1,3,6,3,17,25,2,6,11,4,,,,,,120,78,,,,,,,,,,,,,
2016,8,10,Krekrelo,inside,Con.,NO,PSC,15,4,2,11,6,14,3,7,20,5,,,,9,7,5,4,2,10,1,5,12,3,,,,,,87,58,,,,,,,,,,,,,
2016,8,12,Korea,inside,Con.,NO,PSC,0,15,1,12,2,0,1,8,5,2,,,,1,3,4,7,5,1,2,3,1,4,,,,,,46,31,,,,,,,,,,,,,
2016,8,12,Farabale,inside,Con.,NO,PSC,25,19,12,11,30,8,3,15,9,4,,,,17,13,8,4,24,5,2,9,3,6,,,,,,136,91,,,,,,,,,,,,,
2016,8,13,Cissebougou,inside,Con.,NO,PSC,7,2,11,4,5,1,6,10,3,7,,,,5,4,15,2,9,3,2,5,1,4,,,,,,56,50,,,,,,,,,,,,,
2016,8,13,Trekrou,inside,Con.,NO,PSC,28,39,45,8,20,8,30,25,19,40,,,,11,20,25,3,8,2,16,21,10,29,,,,,,262,145,,,,,,,,,,,,,
2016,8,7,Sirakele,inside,Con.,NO,PSC,9,1,1,15,6,4,20,5,9,5,,,,4,3,0,8,2,1,13,2,14,3,,,,,,75,50,,,,,,,,,,,,,
2016,8,7,Balala,inside,Con.,NO,PSC,7,5,19,10,2,24,13,6,3,32,,,,2,8,12,3,5,15,6,9,3,18,,,,,,121,81,,,,,,,,,,,,,
2016,8,6,Sambadani,inside,Con.,NO,PSC,8,5,3,15,21,27,9,2,11,2,,,,12,7,2,17,12,23,8,5,17,9,,,,,,103,112,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,1194,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,9,6,Madina,inside,Con.,NO,PSC,13,2,5,16,24,9,3,6,2,18,,,,7,0,3,9,11,2,5,1,0,7,,,,,,98,45,,,,,,,,,,,,,
2016,9,6,Nianguanabougou,inside,Con.,NO,PSC,4,5,2,11,9,8,1,17,9,25,,,,7,4,3,6,5,2,3,8,4,17,,,,,,91,59,,,,,,,,,,,,,
2016,9,7,Tiko,inside,Con.,NO,PSC,2,17,24,45,11,3,19,5,28,11,,,,0,9,11,25,8,6,9,2,21,11,,,,,,165,102,,,,,,,,,,,,,
2016,9,7,Kignele,inside,Con.,NO,PSC,173,48,55,252,36,52,14,91,50,136,,,,45,21,19,56,11,32,7,18,15,34,,,,,,907,258,,,,,,,,,,,,,
2016,9,8,Trekrouba,inside,Con.,NO,PSC,9,57,41,20,23,40,69,19,5,26,,,,4,16,25,11,8,13,27,5,9,14,,,,,,309,132,,,,,,,,,,,,,
2016,9,8,Balandougou,inside,Con.,NO,PSC,10,3,12,9,40,47,13,5,14,8,,,,2,5,8,3,15,21,6,1,7,3,,,,,,161,71,,,,,,,,,,,,,
2016,9,9,Krekrelo,inside,Con.,NO,PSC,6,9,5,24,8,31,8,11,25,5,,,,4,2,1,11,3,18,3,5,7,10,,,,,,132,64,,,,,,,,,,,,,
2016,9,9,Korea,inside,Con.,NO,PSC,5,27,3,35,8,4,2,19,13,7,,,,8,23,5,9,2,1,5,12,6,4,,,,,,123,75,,,,,,,,,,,,,
2016,9,10,Farabale,inside,Con.,NO,PSC,30,21,7,15,42,6,5,1,6,8,,,,14,9,2,10,13,3,2,0,3,4,,,,,,141,60,,,,,,,,,,,,,
2016,9,10,Cissebougou,inside,Con.,NO,PSC,14,5,10,8,3,4,9,16,3,10,,,,4,2,3,8,5,2,7,10,1,5,,,,,,82,47,,,,,,,,,,,,,
2016,9,11,Trekrou,inside,Con.,NO,PSC,35,58,64,15,17,5,38,19,30,53,,,,18,27,35,8,9,6,31,9,12,25,,,,,,334,180,,,,,,,,,,,,,
2016,9,11,Sirakele,inside,Con.,NO,PSC,14,4,2,10,13,5,18,9,15,5,,,,9,7,5,6,4,1,15,5,9,8,,,,,,95,69,,,,,,,,,,,,,
2016,9,12,Balala,inside,Con.,NO,PSC,6,3,28,16,5,17,10,5,8,27,,,,2,0,11,6,12,5,4,2,5,18,,,,,,125,65,,,,,,,,,,,,,
2016,9,12,Sambadani,inside,Con.,NO,PSC,19,13,7,28,35,24,37,16,8,45,,,,22,10,4,15,20,13,30,11,4,17,,,,,,232,146,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2995,1373,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,10,,Madina,inside,Con.,NO,PSC,8,0,1,3,11,4,0,5,0,26,,,,5,0,3,2,9,2,0,4,1,17,,,,,,58,43,,,,,,,,,,,,,
2016,10,,Nianguanabougou,inside,Con.,NO,PSC,4,2,0,15,3,5,1,15,4,20,,,,2,1,0,8,5,2,3,6,5,15,,,,,,69,47,,,,,,,,,,,,,
