year,Month,Date,Vilage,Location,Dedication,Intrvention,Trap,1 Station female,2 Station female,3 Station female,4 Station female,5 Station female,6 Station female,7 Station female,8 Station female,9 Station female,10 Station female,,,,1 Station male,2 Station male,3 Station male,4 Station male,5 Station male,6 Station male,7 Station male,8 Station male,9 Station male,10 Station male,,,,CDC suplementary catch male,CDC suplementary catch female,,tot f,tot m,,Sample PCR species ident.,An. coluzzi,An. gambiae s.s.,,Sample age grading,>3 gon. Cyc.,< 3 gon. Cyc.,,Sample Anthrone females,Anthrone positive females,,Sample Anthrone males,Anthrone positive males,,Sample ELISA,ELISA positive,,Remarcs,,,,
16,6,20,Balala,periphery,Con.,NO,CDC,0,0,1,0,0,0,2,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,3,0,,3,3,,,ND,ND,ND,,0,,,,,,3,0,,additional ELISA tests done after reporting,,,,
16,6,20,Sambadani,periphery,Con.,NO,CDC,0,0,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,,0,0,,,ND,ND,ND,,0,,,,,,1,0,,additional ELISA tests done after reporting,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,2,,42,36,,,,,,,69,40,,2,2,,33,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7,12,Madina,periphery,Con.,NO,CDC,2,12,5,9,3,1,10,8,2,7,,,,0,4,2,0,3,0,5,4,0,2,,,,,,,59,20,,3,3,,,ND,ND,ND,,20,11,,20,13,,20,0,,,,,,
16,7,12,Nianguanabougou,periphery,Con.,NO,CDC,6,3,11,2,15,7,0,3,20,11,,,,3,1,4,0,6,2,1,0,7,5,,,,,,,78,29,,3,3,,,ND,ND,ND,,20,8,,20,7,,20,0,,,,,,
16,7,12,Tiko,periphery,Con.,NO,CDC,1,0,2,7,1,5,2,9,2,0,,,,0,0,0,1,0,1,0,2,0,0,,,,,,,29,4,,3,3,,,ND,ND,ND,,10,4,,0,0,,10,0,,,,,,
16,7,14,Kignele,periphery,Con.,NO,CDC,8,7,2,13,5,21,5,17,6,25,,,,5,4,3,7,0,12,8,9,3,12,,,,,,,109,63,,3,2,,,ND,ND,ND,,20,13,,20,15,,20,0,,,,,,
16,7,17,Trekrouba,periphery,Con.,NO,CDC,24,4,38,9,15,21,6,3,16,30,,,,6,8,15,5,11,17,3,0,9,16,,,,,,,166,90,,3,2,,,ND,ND,ND,,20,10,,20,9,,20,1,,,,,,
16,7,18,Balandougou,periphery,Con.,NO,CDC,2,5,0,8,1,1,3,0,6,4,,,,0,2,0,1,0,0,0,0,0,0,,,,,,,30,3,,3,3,,,ND,ND,ND,,10,4,,0,0,,10,0,,,,,,
16,7,19,Krekrelo,periphery,Con.,NO,CDC,1,0,0,3,2,0,5,0,1,7,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,19,0,,3,2,,,ND,ND,ND,,10,3,,0,0,,10,0,,,,,,
16,7,20,Korea,periphery,Con.,NO,CDC,0,3,0,0,4,0,1,0,0,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,9,0,,3,2,,,ND,ND,ND,,5,3,,0,0,,5,0,,,,,,
16,7,20,Farabale,periphery,Con.,NO,CDC,3,0,5,1,2,8,3,1,0,9,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,32,0,,3,3,,,ND,ND,ND,,10,5,,0,0,,10,0,,,,,,
16,7,21,Cissebougou,periphery,Con.,NO,CDC,5,1,17,4,2,14,6,3,12,5,,,,1,0,0,0,0,0,0,0,0,0,,,,,,,69,1,,3,2,,,ND,ND,ND,,20,13,,0,0,,10,0,,,,,,
16,7,21,Trekrou,periphery,Con.,NO,CDC,12,3,7,11,18,2,35,10,4,23,,,,3,0,0,5,10,0,14,0,6,17,,,,,,,125,55,,3,3,,,ND,ND,ND,,20,9,,20,11,,20,1,,,,,,
16,7,22,Sirakele,periphery,Con.,NO,CDC,0,2,1,0,9,1,4,0,3,1,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,21,0,,3,3,,,ND,ND,ND,,10,4,,0,0,,10,0,,,,,,
16,7,22,Balala,periphery,Con.,NO,CDC,1,3,1,5,10,2,5,1,0,8,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,36,0,,3,3,,,ND,ND,ND,,20,8,,0,0,,10,0,,,,,,
16,7,23,Sambadani,periphery,Con.,NO,CDC,1,0,0,4,0,2,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,8,0,,3,3,,,ND,ND,ND,,5,2,,0,0,,5,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,265,,42,37,,,,,,,200,97,,100,55,,180,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,8,9,Madina,,,,,43,9,4,16,38,21,5,1,12,8,,,,8,2,0,7,15,6,0,2,5,11,,,,,,,157,56,,3,2,,,ND,ND,ND,,10,8,,10,6,,30,0,,,,,,
16,8,9,Nianguanabougou,,,,,7,5,30,26,21,9,45,34,17,42,,,,8,3,17,5,12,3,24,10,5,9,,,,,,,236,96,,3,1,,,ND,ND,ND,,20,15,,20,12,,40,1,,,,,,
16,8,12,Tiko,,,,,33,60,14,51,10,48,31,18,44,39,,,,12,26,3,19,2,25,8,13,21,14,,,,,,,348,143,,3,2,,,ND,ND,ND,,20,12,,20,13,,40,1,,,,,,
16,8,8,Kignele,,,,,16,72,23,5,39,14,54,37,65,76,,,,12,40,25,9,23,17,36,31,52,48,,,,,,,401,293,,3,2,,,ND,ND,ND,,20,13,,20,11,,50,1,,,,,,
16,8,8,Trekrouba,,,,,9,11,34,52,40,6,21,35,19,25,,,,3,6,20,33,13,9,14,15,10,7,,,,,,,252,130,,3,1,,,ND,ND,ND,,20,17,,20,15,,30,0,,,,,,
16,8,13,Balandougou,,,,,11,3,19,24,8,6,13,5,28,31,,,,2,0,4,6,0,3,5,0,11,15,,,,,,,148,46,,3,3,,,ND,ND,ND,,10,6,,10,8,,22,0,,,,,,
